customer_id,customer_name,city_id
1,Aarav Agarwal,BLR
2,Aarav Pandey,BLR
3,Aditi Gupta,BLR
4,Aditi Joshi,BLR
5,Aditi Reddy,BLR
6,Aditi Verma,BLR
7,Aditya Gupta,BLR
8,Aditya Malhotra,BLR
9,Aditya Sharma,BLR
10,Aditya Singh,BLR
11,Ananya Gupta,BLR
12,Ananya Kumar,BLR
13,Ananya Malhotra,BLR
14,Ananya Mehta,BLR
15,Arjun Agarwal,BLR
16,Arjun Malhotra,BLR
17,Arjun Pandey,BLR
18,Arjun Rao,BLR
19,Arjun Reddy,BLR
20,Arjun Singh,BLR
21,Aryan Desai,BLR
22,Aryan Malhotra,BLR
23,Aryan Patel,BLR
24,Aryan Sharma,BLR
25,Aryan Singh,BLR
26,Dhruv Agarwal,BLR
27,Dhruv Kumar,BLR
28,Dhruv Malhotra,BLR
29,Dhruv Mehta,BLR
30,Dhruv Singh,BLR
31,Dhruv Verma,BLR
32,Diya Desai,BLR
33,Diya Joshi,BLR
34,Diya Kapoor,BLR
35,Diya Reddy,BLR
36,Diya Sinha,BLR
37,Isha Rao,BLR
38,Isha Shukla,BLR
39,Ishita Agarwal,BLR
40,Aarav Chopra,CHN
41,Aarav Kapoor,CHN
42,Aarav Mishra,CHN
43,Aarav Nair,CHN
44,Aarav Rao,CHN
45,Aarav Sharma,CHN
46,Aarav Singh,CHN
47,Aarav Verma,CHN
48,Aditi Kapoor,CHN
49,Aditi Malhotra,CHN
50,Aditi Nair,CHN
51,Aditi Patel,CHN
52,Aditi Rao,CHN
53,Aditi Shukla,CHN
54,Aditi Sinha,CHN
55,Aditya Agarwal,CHN
56,Aditya Reddy,CHN
57,Aditya Shukla,CHN
58,Ananya Chopra,CHN
59,Ananya Desai,CHN
60,Ananya Pandey,CHN
61,Ananya Reddy,CHN
62,Ananya Sharma,CHN
63,Ananya Shukla,CHN
64,Ananya Singh,CHN
65,Arjun Mishra,CHN
66,Arjun Sinha,CHN
67,Aryan Kumar,CHN
68,Aryan Mishra,CHN
69,Aryan Nair,CHN
70,Aryan Reddy,CHN
71,Dhruv Nair,CHN
72,Diya Agarwal,CHN
73,Diya Rao,CHN
74,Diya Shukla,CHN
75,Isha Agarwal,CHN
76,Isha Chopra,CHN
77,Isha Desai,CHN
78,Isha Kapoor,CHN
79,Isha Malhotra,CHN
80,Isha Pandey,CHN
81,Isha Sharma,CHN
82,Aarav Malhotra,PNQ
83,Aarav Patel,PNQ
84,Aarav Sinha,PNQ
85,Aditi Mishra,PNQ
86,Aditya Desai,PNQ
87,Aditya Verma,PNQ
88,Ananya Kapoor,PNQ
89,Ananya Rao,PNQ
90,Arjun Joshi,PNQ
91,Arjun Kapoor,PNQ
92,Arjun Kumar,PNQ
93,Arjun Mehta,PNQ
94,Arjun Patel,PNQ
95,Arjun Sharma,PNQ
96,Arjun Shukla,PNQ
97,Aryan Shukla,PNQ
98,Aryan Sinha,PNQ
99,Dhruv Patel,PNQ
100,Dhruv Shukla,PNQ
101,Dhruv Sinha,PNQ
102,Diya Chopra,PNQ
103,Diya Malhotra,PNQ
104,Diya Mishra,PNQ
105,Diya Pandey,PNQ
106,Isha Joshi,PNQ
107,Isha Nair,PNQ
108,Isha Singh,PNQ
109,Ishita Kapoor,PNQ
110,Ishita Reddy,PNQ
111,Kiara Agarwal,PNQ
112,Krishna Sharma,PNQ
113,Mira Agarwal,PNQ
114,Mira Chopra,PNQ
115,Mira Kumar,PNQ
116,Mira Patel,PNQ
117,Mira Sharma,PNQ
118,Riya Kumar,PNQ
119,Riya Singh,PNQ
120,Rudra Nair,PNQ
121,Rudra Rao,PNQ
122,Rudra Sharma,PNQ
123,Vihaan Verma,PNQ
124,Vivaan Desai,PNQ
125,Vivaan Singh,PNQ
126,Vivaan Sinha,PNQ
127,Krishna Kumar,PNQ
128,Mira Nair,PNQ
129,Aditi Gupta,PNQ
130,Ayaan Patel,PNQ
131,Meera Shah,PNQ
132,Veer Kapoor,PNQ
133,Abhay Singh,PNQ
134,Aarav Joshi,JAI
135,Aarav Kumar,JAI
136,Aarav Reddy,JAI
137,Aditi Desai,JAI
138,Aditi Mehta,JAI
139,Aditi Pandey,JAI
140,Aditya Kapoor,JAI
141,Aditya Kumar,JAI
142,Aditya Mehta,JAI
143,Aditya Mishra,JAI
144,Aditya Pandey,JAI
145,Aditya Patel,JAI
146,Aditya Rao,JAI
147,Arjun Desai,JAI
148,Arjun Gupta,JAI
149,Arjun Nair,JAI
150,Arjun Verma,JAI
151,Aryan Agarwal,JAI
152,Aryan Chopra,JAI
153,Aryan Joshi,JAI
154,Aryan Kapoor,JAI
155,Dhruv Chopra,JAI
156,Dhruv Desai,JAI
157,Dhruv Joshi,JAI
158,Dhruv Kapoor,JAI
159,Dhruv Mishra,JAI
160,Dhruv Pandey,JAI
161,Dhruv Rao,JAI
162,Diya Kumar,JAI
163,Diya Mehta,JAI
164,Diya Nair,JAI
165,Diya Patel,JAI
166,Diya Sharma,JAI
167,Diya Verma,JAI
168,Isha Gupta,JAI
169,Isha Kumar,JAI
170,Isha Mehta,JAI
171,Isha Patel,JAI
172,Isha Reddy,JAI
173,Ishita Gupta,JAI
174,Ishita Kumar,JAI
175,Ishita Malhotra,JAI
176,Ishita Mishra,JAI
177,Krishna Agarwal,JAI
178,Krishna Mishra,JAI
179,Krishna Patel,JAI
180,Mira Gupta,JAI
181,Mira Nair,JAI
182,Mira Verma,JAI
183,Navya Rao,JAI
184,Riya Rao,JAI
185,Riya Shukla,JAI
186,Rudra Agarwal,JAI
187,Rudra Malhotra,JAI
188,Rudra Reddy,JAI
189,Saanvi Chopra,JAI
190,Saanvi Joshi,JAI
191,Saanvi Kumar,JAI
192,Shaurya Pandey,JAI
193,Vihaan Reddy,JAI
194,Vivaan Pandey,JAI
195,Krishna Agarwal,JAI
196,Krishna Malhotra,JAI
197,Krishna Reddy,JAI
198,Mira Gupta,JAI
199,Mira Kumar,JAI
200,Tanvi Pillai,JAI
201,Uday Reddy,JAI
202,Arjun Gupta,JAI
203,Aarav Desai,DEL
204,Aarav Gupta,DEL
205,Aarav Mehta,DEL
206,Aarav Shukla,DEL
207,Aditi Agarwal,DEL
208,Aditi Chopra,DEL
209,Aditi Kumar,DEL
210,Aditi Sharma,DEL
211,Aditi Singh,DEL
212,Aditya Chopra,DEL
213,Aditya Joshi,DEL
214,Aditya Nair,DEL
215,Aditya Sinha,DEL
216,Ananya Agarwal,DEL
217,Ananya Joshi,DEL
218,Ananya Mishra,DEL
219,Ananya Nair,DEL
220,Ananya Patel,DEL
221,Ananya Sinha,DEL
222,Ananya Verma,DEL
223,Arjun Chopra,DEL
224,Aryan Gupta,DEL
225,Aryan Mehta,DEL
226,Aryan Pandey,DEL
227,Aryan Rao,DEL
228,Aryan Verma,DEL
229,Dhruv Gupta,DEL
230,Dhruv Reddy,DEL
231,Dhruv Sharma,DEL
232,Diya Gupta,DEL
233,Diya Singh,DEL
234,Isha Mishra,DEL
235,Isha Sinha,DEL
236,Isha Verma,DEL
237,Kiara Desai,DEL
238,Kiara Malhotra,DEL
239,Kiara Pandey,DEL
240,Krishna Malhotra,DEL
241,Krishna Sinha,DEL
242,Mira Joshi,DEL
243,Navya Agarwal,DEL
244,Navya Malhotra,DEL
245,Navya Mehta,DEL
246,Navya Mishra,DEL
247,Riya Agarwal,DEL
248,Riya Desai,DEL
249,Riya Verma,DEL
250,Rudra Joshi,DEL
251,Rudra Mehta,DEL
252,Saanvi Nair,DEL
253,Saanvi Reddy,DEL
254,Shaurya Gupta,DEL
255,Shaurya Malhotra,DEL
256,Vivaan Chopra,DEL
257,Vivaan Kapoor,DEL
258,Vivaan Rao,DEL
259,Vivaan Shukla,DEL
260,Kiara Sinha,DEL
261,Krishna Chopra,DEL
262,Krishna Desai,DEL
263,Krishna Mehta,DEL
264,Krishna Mishra,DEL
265,Navya Chopra,DEL
266,Navya Kapoor,DEL
267,Ishaan Kumar,DEL
268,Nikhil Jain,DEL
269,Tarun Joshi,DEL
270,Ayush Kumar,DEL
271,Ishita Sharma,BOM
272,Kiara Gupta,BOM
